cand_name,cid,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt,origin,source,last_updated
"Jacobs, Sara",N00042081,2022,CA,D,H,2020,2022,1656385.43,1668524.67,90027.28,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042081&cycle=2022,12/31/2022
"Roy, Chip",N00042268,2022,TX,R,H,2018,2022,2307601,1522460.77,1248723.01,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042268&cycle=2022,12/31/2022
"Hill, French",N00035792,2022,AR,R,H,2014,2022,3241746.47,2772160.82,880665.01,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035792&cycle=2022,12/31/2022
"Banks, Jim",N00037185,2022,IN,R,H,2016,2022,2594221.52,1703164.87,1335483.41,27052.41,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037185&cycle=2022,12/31/2022
"Garcia, Sylvia",N00042282,2022,TX,D,H,2018,2022,940934.37,804061.76,384471.59,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042282&cycle=2022,12/31/2022
"Burgess, Michael",N00025219,2022,TX,R,H,2002,2022,1341265.13,1294137.87,189623.97,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00025219&cycle=2022,12/31/2022
"Cline, Ben",N00042296,2022,VA,R,H,2018,2022,990175.93,961609.47,267340.9,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042296&cycle=2022,12/31/2022
"Chu, Judy",N00030600,2022,CA,D,H,2009,2022,1584663.65,1001040.56,3346392.6,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030600&cycle=2022,12/31/2022
"Comer, James",N00038260,2022,KY,R,H,2016,2022,1643106.72,967747.65,1077822.12,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038260&cycle=2022,12/31/2022
"Thune, John",N00004572,2022,SD,R,S,2004,2022,13066953.77,6767653.48,16942232.64,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00004572&cycle=2022,12/31/2022
"Auchincloss, Jake",N00045506,2022,MA,D,H,2020,2022,3037337.38,1040854.45,2454265.01,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045506&cycle=2022,12/31/2022
